游戏名,中文名,别名,评分人数,tag,rank
抜きゲーみたいな島に住んでる貧乳はどうすりゃいいですか？,,抜きゲーみたいな島に住んでる貧乳（わたし）はどうすりゃいいですか？、NukiTashi、ぬきたし、Is the Island Utopia or Dystopia?、拔作岛,4434,Galgame; Qruppo; 拔作(笑); 欢乐; 披着拔作外衣的剧情作; 硬核(笑); PC; 2018; 剧情; R18,1614
紙の上の魔法使い,纸上的魔法使,Kamimaho、かみまほ、Kami no Ue no Mahoutsukai、纸魔,4413,Galgame; 桐葉; 紙の上の魔法使い; 妹控; ルクル; 致郁; ウグイスカグラ; 妹; 恶意; 2014,663
魔法少女ノ魔女裁判,魔法少女的魔女审判,,4397,百合; 推理; Galgame; 悬疑; 魔法少女; 全年龄; ADV; PC; 2025; 游戏,2263
装甲悪鬼村正,装甲恶鬼村正,FullMetal Daemon Muramasa、Full Metal Daemon Muramasa、FMD Muramasa、Armored Demon Muramasa、村正、Muramasa,4363,Nitro+; Galgame; 奈良原一鉄; 神作; 猎奇; N+; PC; 超神作; AVG; GAL,45
蒼の彼方のフォーリズム,苍之彼方的四重奏,"Beyond the sky, into the firmament.、あおかな、Four Rhythm Across the Blue、4Rhythm、Aokana、아오카나",4362,Galgame; sprite; 青春; 蒼の彼方のフォーリズム; 王道; 燃; PC; 2014; GAL; 声优阵可怕,693
RIDDLE JOKER,,リドルジョーカー、谜语小丑、rj,4362,柚子社; Galgame; 桐谷华; 废萌; ゆずソフト; 遥そら; 妹; 华哥; 石原舞; PC,6796
planetarian ～ちいさなほしのゆめ～,星之梦,planetarian - Dream of Little Star -、星之梦,4352,key; Galgame; 星之梦; 催泪; 涼元悠一; planetarian; 电子小说; 星野夢美; PC; 全年龄,492
CROSS†CHANNEL,交错†频道,C+C、クロスチャンネル,4204,田中ロミオ; Galgame; 孤独; 田中罗密欧; 致郁; 哲学; c+c; FlyingShine; 狂气; loop,97
9-nine-はるいろはるこいはるのかぜ Episode.3 Haruka Kousaka,9-nine-春色春恋春熙风,9はるいろ、9Haruiro、9 -Nine- Episode 3: Haruka Kousaka,4019,Galgame; 调色板; 和泉つばす; 分割商法; ぱれっと; 9-nine-; Palette; 桐谷华; 2019; PC,4476
マブラヴ オルタネイティヴ,Muv-Luv Alternative,MLA,4004,Galgame; 燃; muv-luv; âge; 超神作; 战争; 机器人; 经典; 神作; PC,17
ヨスガノソラ,缘之空,"In Solitude, Where We are Least Alone.、Yosusora",3878,Galgame; 穹妹; 妹控; sphere; 缘之空; 实妹; PC; R18; GAL; 妹控兄控什么的最有爱了,3513
喫茶ステラと死神の蝶,星光咖啡馆与死神之蝶,Kissa Stella to Shinigami no Chou、Café Stella and the Death Goddess' Butterfly、星巴克与扑棱蛾子,3829,柚子社; Galgame; 废萌; 夏和小; ゆずソフト; Yuzu-Soft; 纯爱; 2019; 清水爱; PC,7641
君と彼女と彼女の恋。,你和她和她的恋爱。,"Totono、The Love Between You, Her, and Her、토토노、你和她和她的恋爱。、君彼女、君彼",3778,Galgame; Nitro+; METAGAME; meta; 下仓バイオ; 不是真正的GAL爱好者不要玩; R18; “纯爱”; PC; GAL,1791
ヘンタイ・プリズン,变态监狱,HENTAI · PRISON,3708,Galgame; Qruppo; 监狱; 搞笑; 倉骨治人; PC; 燃; 2022; R18; 骨折王子,57
殻ノ少女,壳之少女,Girl in the Shell、Kara no Shoujo - The First Episode、KnS1、壳少,3645,InnocentGrey; Galgame; 杉菜水姫; 猎奇; 殻ノ少女; 推理; 悬疑; 冬子; PC; 致郁,1202
ランス10,兰斯10 决战,Rance X、ランス10－決戦－、Rance 10 -Kessen-、Rance 10,3587,兰斯; alicesoft; Galgame; RPG; 系列完结; 游戏性; 最终作; 完结作; 黄油; PC,2
恋×シンアイ彼女,想要传达给你的爱恋,School Girls Stories、Koi-Kakeru Shin-Ai Kanojo、Koikake、恋彼女,3576,Galgame; 新島夕; 恋×シンアイ彼女; 水月陵; 暖人心田; Us:track; 新岛夕; きみしま青; PC; 2015,2867
euphoria,,ユーフォリア,3522,Galgame; 猎奇; CLOCKUP; 重口味; 和泉万夜; 纯爱; 浅生詠; 剧情; PC; 近神作,2913
narcissu SIDE 2nd,水仙2,水仙2,3502,Galgame; 片岡とも; 水仙; 催泪; narcissu; 感动; 全年龄; PC; AVG; 水仙2,250
星空鉄道とシロの旅,星空列车与白的旅行,星シロ、Hoshishiro、Hoshitetsu,3471,Galgame; 全年龄; 白玉; しらたま; 萝莉; 催泪; さかき傘; 治愈; 剧情; 短篇,1550
サクラノ刻 -櫻の森の下を歩む-,樱之刻 - 于樱花之森下漫步,サクラノ刻,3447,SCA-自; Galgame; 枕; 樱之刻; 狗神煌; 松本文紀; 有生之年; 新岛夕; PC; 十年起步最高终止,299
美少女万華鏡 -忘れな草と永遠の少女-,美少女万华镜 -勿忘草与永远的少女-,美少女万華鏡2、Biman 2,3440,Galgame; 拔作; 八宝备仁; ωstar; 美少女万华镜; 幼驯染; PC; 八宝備仁; R18; 2012,5047
車輪の国、向日葵の少女,车轮之国、向日葵的少女,Syarin、车轮之国,3311,Galgame; AKABEiSOFT2; 车轮; るーすぼーい; 社会; 法律; 政治; 义务; AB2; PC,323
金色ラブリッチェ,金辉恋曲四重奏,Kinkoi、金恋、金色Loveriche,3268,Galgame; SAGA; さかき傘; 金发; SAGAPLANETS; 水月陵; 遥そら; 秋野花; 2017; PC,1150
ISLAND,,アイランド,3266,Galgame; FrontWing; 全年龄; 轮回; 田村大魔王; ごぉ; 空中幼彩; PC; GAL; 2016,767
美少女万華鏡 -神が造りたもうた少女たち-,美少女万华镜 -为神所创的少女们-,美少女万華鏡3、Biman 3,3228,Galgame; 拔作; 八宝备仁; ωstar; 美少女万华镜; 八宝備仁; 撸出血; PC; 黑丝; 2015,3006
"BALDR SKY Dive2 ""RECORDARE""",,バルドスカイ ダイブ2 レコルダーレ、BSD2、Baldrsky 2,3197,Galgame; GIGA; 戲畫; ACT; 戯画; 菊池政治; BALDR; BALDR_SKY_Dive2_; 萝卜; PC,23
STEINS;GATE 0,命运石之门 0,シュタインズ・ゲート・ゼロ、シュタゲゼロ、S;G 0、Shutage 0,3196,Galgame; 命运石之门; 5pb; 假想科学ADV; 5pb.; 悬疑; AVG; Nitro+; PC; ADV,488
ドーナドーナ いっしょにわるいことをしよう,多娜多娜 一起干坏事吧,doHna:doHna,3174,alicesoft; Galgame; 魚介; 赛博朋克; RPG; R18; PC; 拔作; 萝莉; 2020,1682
はつゆきさくら,初雪樱,White Graduation、Hatsusaku、はつさく、Hatsuyuki Sakura,3151,新岛夕; Galgame; SAGAPLANETS; 暖人心田; 毕业作; 初雪樱; 治愈; 纯爱; 水月陵; 虐心,1582
"BALDR SKY Dive1 ""LostMemory""",,バルドスカイ ダイブ1 ロストメモリー、BSD1、Baldrsky 1,3120,Galgame; 戯画; ACT; GIGA; BALDRSKY; 菊池政治; 萝卜; BALDR; PC; 卑影ムラサキ,114
