游戏名,中文名,别名,评分人数,tag,rank
ライムライト・レモネードジャム,橘光柠水随想曲,LimeLight Lemonade Jam、聚光灯下的青柠恋曲、逐光柠檬协奏曲,1738,Galgame; 柚子社; 废萌; Yuzusoft; さかき傘; 2025; PC; 夏和小; ゆずソフト; Windows,4134
ネコぱら vol.1 ソレイユ開店しました！,,Cats Paradise、巧克力和香草、巧克力与香子兰、NEKOPARA Vol. 1,1733,Galgame; 猫娘; 拔作; 艹猫; sayori; PC; 巧克力香子兰; 艹猫狂魔; STEAM; NEKOWORKs,9009
千の刃濤、桃花染の皇姫,千之刃涛、桃花染之皇姬,"千桃、Senmomo、Sen no Hatou, Tsukisome no Kouki",1727,AUGUST; Galgame; 八月社; 遥そら; GAL; 高森奈津美; PC; 榊原拓; 汉化; 2016,4953
"ノラと皇女と野良猫ハート -Nora, Princess, and Stray Cat.-",野良与皇女与流浪猫之心,Noratoto、ノラとと、노라토토,1723,Galgame; 桐谷华; HARUKAZE; 欢乐; 无厘头; 小鸟居夕花; 遥そら; 良心制作！; 浅川悠; 2016,2835
家族計画 ～そしてまた家族計画を～,家族计划~再开~,,1705,田中ロミオ; Galgame; 田中罗密欧; FD; D.O.; FanDisc; fandisk水准之作; 高屋敷開発; PC; 2004,26
リアル妹がいる大泉くんのばあい,实妹相伴的大泉君,Riaimo、Real Imouto gairu Ooizumikun no Baai,1695,Galgame; 妹控; ALcotハニカム; 妹系; alcot; 妹; 妹ゲー; PC; 妹と共に生きるADV; 汉化,3203
ランス・クエスト,兰斯8,Rance8、RanceVIII、Rance quest,1687,alicesoft; 兰斯; Galgame; RPG; 女儿; 兰斯8; PC; 游戏性; R18; 2011,1706
天色＊アイルノーツ,天色幻想岛,天色Islenauts,1686,柚子社; Galgame; 废萌; 天色＊アイルノーツ; ゆずソフト; 桐谷华; 淫行教师; Yuzu-Soft; PC; GAL,9336
さよならを教えて 〜comment te dire adieu〜,对你说再见～comment te dire adieu～,Sayooshi、さよ教、sayo教,1678,Galgame; 电波; 狂气; 三大電波ゲー; 精神猎奇; craftwork; 致郁; 長岡建蔵; 狂気; PC,1695
魔女こいにっき,魔女恋爱日记,まじょこいにっき、MajoNikki,1662,新岛夕; Galgame; 狗神煌; 水月陵; qoobrand; 暖人心田新岛夕; GAL; 新島夕; 2014; PC,2849
ディメンション凸ラバース!!,超次元恋人！！,次元突入恋人、次元错位恋人,1637,Galgame; CRYSTALiA; 水晶社; 逢縁奇演; 白毛; 2026; PC; 妹; R18; 游戏,465
うたわれるもの,传颂之物,Uta (うた)、Uta1、The One Being Sung、The One of Whom Legends Are Sung、Legendsung、受讚颂者,1636,leaf; Galgame; 传颂之物; 兽耳; SLG; Aquaplus; PC; 经典之物; SRPG; GAL,628
蒼の彼方のフォーリズム EXTRA1,苍之彼方的四重奏 EXTRA1,Aokana Extra1,1620,Galgame; sprite; FD; 蒼の彼方のフォーリズム; 狗粮; 雪碧社; PC; 马西罗酱卡哇伊！; 青春; 2017,2886
GINKA,,,1619,Galgame; FrontWing; 全年龄; 紺野アスタ; 松本文纪; 長谷川育美; ゆさの; 2023; GAL; 短篇,9659
ハルカナソラ,悠之空,HnS、ヨスガノソラ Fun Disk、Yosuga no Sora Fandisk,1605,Galgame; sphere; 妹控; 春日野穹; 悠之空; FD; 穹妹; 缘之空; PC; R18,6756
かりぐらし恋愛,寄宿之恋,Karigurashi Renai,1578,Galgame; 顏艺社; ASa_Project; 欢乐; 废萌; ASaProject; 石原舞; 2018; 幼なじみ; 纯爱,4829
遥かに仰ぎ、麗しの,遥仰凰华,遥麗、Haru Uru、하루우루、かにしの、kanishino、かにぎしの、kanigishino、仰望那份遥远的美丽,1575,Galgame; pulltop; 师生恋; 遥かに仰ぎ、麗しの; 健速; 丸谷秀人; 师生; 北都南; PC; GAL,1580
車輪の国、悠久の少年少女,车轮之国、悠久的少年少女,"Sharin Fandisk、Sharin FD、車輪FD、車輪悠久、Wheel Country, Youth of Eternity",1573,Galgame; AKABEiSOFT2; るーすぼーい; FD; 车轮之国、悠久的少年少女; PC; GAL; 2007; fandisk; AB2,897
うたわれるもの 偽りの仮面,传颂之物-虚伪的假面-,うたわれるもの2、Utawarerumono: The False Faces、受讚颂者 虚伪的假面,1561,传颂之物; Galgame; leaf; Aquaplus; 兽耳; SLG; SRPG; PSV; 经典之物; PS4,467
時計仕掛けのレイライン -黄昏時の境界線-,时钟机关的Ley-line-黄昏时刻的境界线-,A Clockwork Ley-Line: The Borderline of Dusk,1541,Galgame; 時計仕掛けのレイライン; 分割商法; 悬疑; 水月陵; PC; 侦探剧; ユニゾンシフト; 汉化; GAL,5604
智代アフター 〜It’s a Wonderful Life〜,智代After ～It's a Wonderful Life～,Tomoyo After ~It's a Wonderful Life~、智代After,1532,key; Galgame; 智代; 麻枝准; 感人; PC; 催泪弹; GAL; 2005; 崩坏,2521
うたわれるもの 二人の白皇,传颂之物-二人之白皇-,Utawarerumono 3、受讚颂者 二人的白皇,1529,传颂之物; Galgame; leaf; 二人的白皇; Aquaplus; SRPG; PS4; 续作; PSV; 兽耳,253
きまぐれテンプテーション,异想魅惑,きまテン、Kimaten、魅魔星奏,1527,Galgame; きみしま青; 纯爱; 悬疑; 拔作; シルキーズプラス; 2019; 动态CG; E-mote; 歩サラ,2775
FLOWERS - Le volume sur printemps -,FLOWERS 春篇,Flowers Haru-hen、Flowers1、FLOWERS -The volume of spring-、The tale of the girls who grow with a season、Yurigure,1503,百合; InnocentGrey; Galgame; 杉菜水姫; 全年龄; PC; 2014; 志水はつみ; 推理悬疑; ADV,2517
CARNIVAL,狂欢节,カーニバル,1491,瀬戸口廉也; Galgame; 狂气; FlyingShine; OP欺诈; 烂户口; PC; GAL; S.M.L; 2004,1611
廃村少女 ～妖し惑ひの籠の郷～,废村少女 ～妖异魅惑的笼之乡～,はいそんしょうじょ ～あやし まどいの かごのさと～、废村少女,1491,Galgame; 拔作; 民俗; Escu:de; 悬疑; R18; 御苑生メイ; 2022; PC; ADV,5079
夏ノ鎖,夏之锁,Natsuno Kusari、[联合汉化],1491,CLOCKUP; Galgame; 监禁; 拔作; 浅生詠; 调教; R18; 狂气; PC; 2016,5413
時計仕掛けのレイライン-朝霧に散る花-,时钟机关的Ley-line-朝雾中飘零之花-,A Clockwork Ley-Line: Flowers Falling in the Morning Mist,1490,Galgame; 時計仕掛けのレイライン; 悬疑; 水月陵; 分割商法; ユニゾンシフト; PC; ユニゾンシフト：ブロッサム; GAL; 2015,651
グリザイアの果実,灰色的果实,グリカジ、gurikaji、Grikaji、Gray Scale、World's end、Le Fruit De La Grisaia、The Fruit of Grisaia、灰果,1480,Galgame; FrontWing; 灰色系列; GAL; PC; A神的果實; 2011; 橋本みゆき; 茶太; ADV,873
月に寄りそう乙女の作法2,近月少女的礼仪2,Tsuriotsu 2,1480,Galgame; Navel; 伪娘; 女装; 西又葵; 月に寄りそう乙女の作法; 鈴平ひろ; GAL; 2014; 大小姐,5121
終ノ空 remake,终之空 remake,End Sky Remake、TsuiRE、TnSR,1467,SCA-自; Galgame; 电波; ケロＱ; 哲学; 多视点; 2020; 枕系; 百合; PC,1547
うみねこのなく頃に散,海猫鸣泣之时散,When They Cry 4、When the Seagulls Cry Breakdown,1464,竜騎士07; Galgame; 悬疑; 推理; 07th_Expansion; 猫箱; 龙骑士07; 魔女幻想; 同人; PC,51
Kanon,,,1459,key; Galgame; 麻枝准; Kanon; 久弥直樹; 催泪; 樋上いたる; 泣きゲー; PC; GAL,723
時計仕掛けのレイライン －残影の夜が明ける時－,时钟机关的Ley-line-残影之夜将明时-,A Clockwork Ley-Line -Daybreak of Remnants Shadows-,1455,Galgame; 悬疑; 時計仕掛けのレイライン; 水月陵; 分割商法; ユニゾンシフト; PC; ユニゾンシフト：ブロッサム; GAL; 2013,731
暁の護衛,晓之护卫,AkaGoei、Guard of Daybreak、曉之護衛,1415,Galgame; 晓之护卫; 衣笠彰梧; 搞笑; 大小姐; AKABEiSOFT2; 無限軌道; 吐槽; AB2; しゃんぐりら,4078
LOOPERS -ルーパーズ-,时廻者,ルーパーズ、L∞PERS,1396,key; Galgame; 竜騎士07; 全年龄; 望月けい; 2021; PC; GAL; 小品; ADV,9170
何度目かのはじめまして,几度相逢若初见,第几次初次见面、Nice to Meet You Again,1387,Galgame; 紫社; 克; 轮回; さかき傘; Purplesoftware; R18; 悬疑; PC; 2025,1227
夏空カナタ,夏空彼方,Beyond the Summer Sky、Natuzora Kanata、Natsukana、夏カナ,1375,柚子社; Galgame; 催泪; ゆずソフト; 记忆轮回; 夏空カナタ; Yuzu-Soft; GAL; PC; 汉化,2547
エッチで一途なド田舎兄さまと、古式ゆかしい病弱妹,痴情哥哥与病弱妹妹的乡间生活,"痴情哥哥與病弱妹妹的鄉間生活、A Sex-obsessed Brother in the Country, and his Traditional, Sickly Sister、음흉하고 한결같은 깡촌 오라버니와, 예스럽고 병약한 여동생、ド田舎兄妹、田舍兄妹",1371,Galgame; 拔作; 妹; 实妹; RPG; SisterPosition; K子; 妹控; PC; 游戏,5728
ファタモルガーナの館 -Another Episodes-,海市蜃楼之馆 -A Requiem for Innocence-,The House in Fata Morgana -Another Episodes-,1368,Galgame; Novectacle; 同人; 必玩续作; 全年龄; AVG; 悬疑; FD; PC; 縹けいか,91
11eyes -罪と罰と贖いの少女-,11eyes -罪与罚与赎的少女-,"Sin, Damnation and the Atonement Girl",1354,Galgame; Lass; 11eyes罪と罚と赎いの少女; 猎奇; GAL; PC; 美鈴は俺の嫁！; 我爱草壁; 18X; PSP,2564
3days ～満ちてゆく刻の彼方で～,3days ～在逝去时间的另一端～,3days ~Till Death Do Us A Part~,1312,猎奇; Galgame; Lass; 轮回3日; 重口; 超展开; 狂気; 3days; 纯爱; loop,6053
無限煉姦～恥辱にまみれし不死姫の輪舞～,无限炼奸 ~不死舞姬的凌辱轮舞曲~,Eternal Purgatory、无限炼奸,1311,和泉万夜; Galgame; 拔作; 纯爱; 猎奇; Liquid; 剧情赞; 致郁; PC; 过激,1401
夏空のペルセウス,夏空的英仙座,The Brave Under The Summer Sky.、夏色天空下的珀尔修斯、Natsupers、夏ペル、Natsuzora no Perseus,1303,minori; Galgame; 巨乳村; 妹控; 御影; 夏空のペルセウス; 妹; 鏡遊; 兄控; GAL,7896
この世の果てで恋を唄う少女YU-NO,在世界尽头咏唱恋曲的少女YU-NO,A girl who chants love at the bound of this world、Yu-No、Koihate、yuno、YU-NO,1294,Galgame; ELF; 菅野ひろゆき; yu-no; 轮回; 神作; 悬疑; 科幻; AVG; PC,110
ヒラヒラヒヒル,Hira Hira Hihiru,,1294,瀬戸口廉也; Galgame; 全年龄; ANIPLEX.EXE; 视觉小说; 2023; PC; BA-KU; MANYO; AVG,593
FLOWERS - Le volume sur été -,FLOWERS 夏篇,Flowers Natsu-hen、Flowers2、FLOWERS -The volume of summer-,1281,百合; InnocentGrey; Galgame; 杉菜水姫; 全年龄; 佐仓大法; 文艺百合; PC; 2015; GAL,326
出会って5分は俺のもの！ 時間停止と不可避な運命,5分钟的邂逅！时间停止与不可避免的命运！,The inevitable destiny opened by an Atropos watch、Atropos、アトロポス、俺不可避、orefukahi、相见5分属于我！ 时间停止和不可避的命运、相遇之后的5分钟属于我！时间停止与不可避的命运,1280,Galgame; Hulotte; 时停; 池上茜; 纯爱; 妹; 银发教会; 2018; 废萌; くすはらゆい,7046
アマカノ2+,甜蜜女友2+,,1276,Galgame; 纯爱; あざらしそふと; 海豹社; ピロ水; 黑长直; 2020; R18; PC; 汉化,505
鬼哭街,鬼哭街,鬼哭街 -The Cyber Slayer-,1276,Nitro+; 虚渊玄; Galgame; 妹控; 武侠; 腹黑妹妹控兄记; 魔都; PC; 虚淵玄; 猎奇,2297
アメイジング・グレイス -What color is your attribute?-,奇异恩典·圣夜的小镇,あめぐれ、奇异恩典圣夜的小镇、Amazing Grace -What color is your attribute?-,1244,Galgame; 冬茜トム; 梱枝りこ; きゃべつそふと; 悬疑; 轮回; 2018; CabbageSoft; PC; 汉化,1514
Memories Off,秋之回忆,memof、Memo-Off、メモオフ、告别回忆、秋之回忆1、MO1,1239,KID; 秋之回忆; Galgame; 雨何时会停; 一代; GAL; PSP; MO; PC; 1999,1305
女装山脈,女装山脉,3myaku,1232,Galgame; 伪娘; yoooooooo; 路西法，这是我这个月的灵魂！; 脳内彼女; PC; 攻略伪娘的终极结局是让其怀孕生子; 拔作; 2011; 我体内的怪物已经变得这么大了,9023
パラノマサイト FILE23 本所七不思議,灵视异闻 FILE23 本所七大不可思议,,1223,悬疑; AVG; 恐怖; SquareEnix; 灵异; 推理; PC; meta; ADV; Galgame,2038
ひぐらしのなく頃に,寒蝉鸣泣之时,Higurashi、When They Cry、寒蝉,1220,Galgame; 龙骑士07; 寒蝉鸣泣之时; 悬疑; 竜騎士07; 猎奇; 解谜; 恐怖; PC; 轮回,183
彼女のセイイキ,她的圣域,,1196,feng; Galgame; 拔作; 涼香; 黑长直; 黑丝; 遥そら; PC; 拔; 汉化,8475
星空のメモリア Eternal Heart,星空的记忆 Eternal Heart,Hoshimemo Fandisc,1191,FAVORITE; Galgame; 星空のメモリア; FD; 乙津夢姐姐，嫁给我吧~; 乙津梦; 梅娅赛高; PC; 星空のメモリアEH; GAL,1336
生命のスペア,生命的备件,I was born for you、inosupa、生命的备件,1185,Galgame; 纯爱; あかべぇそふとすりぃ; 泣きゲー; 中島大河; 生死观; AB3; PC; 期望值落差; R18,5772
120円の春,120日元之春,ひゃくにじゅうえんのはる、Hyakunijuu En no Haru、￥120 Stories、120 Yen Stories,1175,Galgame; 片岡とも; 120円; 猫猫社; 治愈; 清新; ねこねこソフト; 全年龄; PC; GAL,2800
Memories Off 〜それから〜,秋之回忆：从今以后,memoff4、Memo-Off 4、メモオフ4、告别回忆4、秋之回忆4、MO4、メモリーズオフ ～それから～,1172,秋之回忆; KID; Galgame; 从今以后; 雨何时会停; MO; PSP; GAL; PC; ADV,1035
きっと、澄みわたる朝色よりも、,从晴朗的朝色泛起之际开始,"Asairo, Kissumi",1168,Galgame; 朱门优; propeller; 神音乐; 樋口秀樹; きっと、澄みわたる朝色よりも; 神剧情; GAL; PC; 雰囲気がいい,1324
Phantom PHANTOM OF INFERNO,幻灵镇魂曲,ファントム、PoI、幻灵 -徬徨于无限地狱-、Phantom,1160,Nitro+; 虚渊玄; Galgame; PC; 虚淵玄; GAL; 少年少女打手枪; N+; 神作; 中央东口,320
加奈 〜いもうと〜,加奈妹妹,Kana: Imouto、Kana: Little Sister,1147,田中ロミオ; Galgame; 妹控; 死生観; 今日、海を見た。もう怖くない。; D.O.; 妹ゲー; 妹; 高屋敷開発; 生死观,434
アストラエアの白き永遠,星辰恋曲的白色永恒,星辰少女的白色永远、Elfin song's an unlimited expanse of white、White Eternity of AstralAir、AstralAir no Shiroki Eien、星辰少女的纯白永恒,1134,FAVORITE; Galgame; 司田カズヒロ; 萝莉; 桐谷华; PC; 妹; 汉化; GAL; FD才是正篇系列,2933
フローラル・フローラブ,花之天使的夏日恋歌,フロフロ、Floflo、Floral Flowlove,1127,SAGAPLANETS; Galgame; 秋野花; 汉化; 水月陵; 宗教; 石原舞; PC; 声控福利; 2016年7月,2513
まいてつ,爱上火车,Maitetu、铁道共舞,1119,Galgame; 萝莉; lose; 艹火车; 桐谷华; 动态CG; GAL; 幼女控; PC; 2016,4949
できない私が、くり返す。,若能与你再次相见,时钟物语、苹果妹、Time leap,1118,Galgame; あかべぇそふとすりぃ; 死生观; re:call; 回到过去; 中島大河; 霜月遥; 穿越; 2014; 催泪,2467
誰が殺したコマドリを,谁杀死了知更鸟,Qui a tué Cock Robin、Who killed the robin?、是谁杀死了知更鸟,1109,Galgame; 百合; NTR; 十二神器; 阴暗系; 拔作; 虐心; 郁系; PC; スマイル戦機,10424
晴のちきっと菜の花びより,晴霁之后定是菜花盛开的好天气,宛如雨后天晴菜花开、Haruno、Nanohana、Harenochi Kitto Nanohana Biyori、雨过天晴必定花开日和、晴菜花,1107,Galgame; Parasol; 幼驯染; 比惨大会; 强行催泪; 萝莉; 暖人心田; 門脇舞以; 汉化; 2014,7798
恋愛×ロワイアル,恋爱X决胜战,恋ロワ、Koirowa、Renai X Royale - Love's a Battle,1102,Galgame; ASa-Project; 喜剧; 小鳥居夕花; ASaProject; 幼驯染; 废萌; 颜艺社; 妹; 2020,7293
Christmas Tina -泡沫冬景-,Christmas Tina -泡沫冬景-,クリスマスティナ、クリティナ,1101,片岡とも; Galgame; 中日合作; nekoday; GAL; PC; STEAM; AVG; 田口宏子; ADV,4302
お兄ちゃん、朝までずっとギュッてして！,哥哥，早上起床之前都要抱紧我哦！,"OniGyu、おにギュ、妹抱、Onii-chan, Keep Hugging Me Tight Until Morning Comes!、Big Brother, Keep Hugging Me Tight Until Morning Comes!、Hold Me Tight All Night, Onii-chan!",1100,Galgame; 妹控; 萌拔; 妹; 萝莉; 拔作; Tinkle_Position; 妹系; K子; 2018,6867
如月真綾の誘惑,如月真绫的诱惑,Kisaragi Maaya no Yuuwaku、Temptation of Elder Sister、oneyuu、如月真绫的诱惑,1096,拔作; Galgame; 姐; 唯々月たすく; 姐姐的诱惑; 实用; 射爆; 巨乳; 汉化; PC,7187
恋がさくころ桜どき,恋花绽放樱飞时,Saku Saku、恋爱在樱开之时、恋爱绽放樱飞时,1091,Galgame; 和泉つばす; 调色板; ぱれっと; 实妹; 纯爱; Palette; 妹; 汉化; PC,8611
グリザイアの楽園,灰色的乐园,The Eden of Grisaia,1086,Galgame; FrontWing; 灰色系列; 姐姐; GAL; 续作; A神的乐园; PC; 2013; 大片,754
ネコぱら vol.2 姉妹ネコのシュクレ,,NEKOPARA vol.2 Des soeurs filles-chat tres gentilles、Cats Paradise 2,1081,Galgame; 艹猫; 拔作; sayori; PC; STEAM; 猫娘; NEKOWORKs; 后宫; GAL,9156
真愛の百合は赤く染まる,真爱的百合被染成红色,まなかし、Manakashi、真爱百合、真爱的百合被染成红色,1080,百合; 猎奇; 和泉万夜; Galgame; るび様; 重口; 过激; R18G; 2019; NTR,10237
紅い瞳に映るセカイ,你朱眸里的五彩世界,A World Reflected in Red Eyes、World's End Love Will Last Forever、Akaseka、你朱眸里的五彩世界、红鸟鸟,1072,FAVORITE; Galgame; 漆原雪人; 真红大法好; 红鸟鸟; FD; 紅い瞳に映るセカイ; 福圆美里; PC; 2015,4220
Forest,,フォレスト,1069,星空めてお; Galgame; Liar-soft; 哲学; 文学; PC; 星空欺负俺们文盲; 2004; GAL; ADV,90
高考恋爱100天,,Gaokao Love 100 Days、高考恋爱100天、Gao Lian、高恋,1068,国产; Galgame; 高考; 校园; 橘子班; PC; STEAM; 落叶岛; 2014; 写实,5868
仄暗き時の果てより,来自昏暗的时间尽头,来自昏暗的时间尽头、仄暗,1048,Galgame; 悬疑; 恐怖; 克苏鲁; moonstone; 猎奇; 老吴; 妹; 呉; 妹控必玩,2160
続・殺戮のジャンゴ —地獄の賞金首—,续·杀戮之姜戈—地狱通缉犯—,Tre Donne Crudeli、Zoku Satsuriku no Jango,1042,Nitro+; 虚渊玄; Galgame; 西部; 革命; 燃; 虚淵玄; PC; Nitroplus; 2007,266
恋と選挙とチョコレート,恋爱和选举和巧克力,"恋チョコ、Koi to Senkyo to Chocolate - Love, Election and Chocolate、恋爱与选举与巧克力",1033,Galgame; sprite; 恋と選挙とチョコレート; 校园; 画风美; 2010; 超展开; PC; GAL; 欢乐向,6782
ジュエリー・ハーツ・アカデミア -We will wing wonder world-,宝石心学园,ジュエハ,1016,Galgame; 冬茜トム; しらたま; きゃべつそふと; 萝莉; 2022; PC; 兽耳; GAL; CabbageSoft,2825
FLOWERS - Le volume sur automne -,FLOWERS 秋篇,Flowers Aki-hen、Flowers3、FLOWERS -The volume of autumn-,1015,百合; InnocentGrey; Galgame; 杉菜水姫; 全年龄; FLOWERS; PC; 志水はつみ; 2016; GAL,297
グリザイアの迷宮,灰色的迷宫,Grisaia no Meikyuu -Le Labyrinthe de la Grisaia-、The Labyrinth of Grisaia,1009,Galgame; FrontWing; 灰色系列; GAL; A神的迷宫; PC; FD; 故事性; 渡辺明夫; 2012,1021
ピュア×コネクト,与你心相连,Pure x Connect、PURE×CONNECT、纯白链接,1009,SMEE; Galgame; 早瀬ゆう; 糖; 甜; 幼馴染; 搞笑; 2015; PC; 幼驯染,1455
恋愛0キロメートル,恋爱0公里,Zerokiro、renzero、恋0、恋零,1007,Galgame; ASaProject; 搞笑; 颜艺; 欢乐; 颜艺帝; 幼驯染; 汉化; 诺基亚; 清水爱,4445
ふゆから、くるる。,冬暮川滚滚,ふゆくる、Fuyukuru,1000,Galgame; 渡辺僚一; 百合; 悬疑; シルキーズプラス; futa; 扶她; 2021; あめとゆき; 科幻,2612
I/O,,アイオー、I/O revision II,997,中泽工; Galgame; 田中ロミオ; 悬疑; 賽博朋克; 全年龄; PC; AVG; 世界观; 中澤工,324
リトルバスターズ！,Little Busters!,Little Busters!,988,key; Galgame; 麻枝准; 友情; 催泪; 神作; PC; GAL; 2007; ADV,138
LOVELY×CATION,,ＬＯＶＥＬＹ×Ｃ∧ＴＩＯＮ、ラブリ×ケーション、Start of daydream that continues through all eternity、L×C,987,Galgame; 纯爱; 暁WORKS-響-; 拔作; 实用; LOVELY×CATION; PC; 汉化; GAL; 唯唯月,5633
セレクトオブリージュ,天选庶民的真命之选,,987,Galgame; まどそふと; 柚子奈; 废萌; 柚子奈ひよ; 秋野花; 2024; 若葉祥慶; 游戏; 妹,10370
俺たちに翼はない,我们没有翅膀,おれつば、Oretsuba、We Don't Have Wings、We Without Wings,986,Galgame; Navel; 王雀孫; 西又葵; 我们没有翅膀; 日语白学; 人格分裂; 我们不懂日语; PC; GAL,179
創作彼女の恋愛公式,创作彼女的恋爱方程式,创作彼女的恋爱公式,977,Galgame; 工藤啓介; 有葉; Aino+Links; 幼驯染; 2021; 纯爱; くすはらゆい; 明羽杏子; PC,9044
"ノラと皇女と野良猫ハート2 -Nora, Princess, and Crying Cat.-",野良与皇女与流浪猫之心2,"ノラとと2、Noratoto 2、Nora, Princess, and Crying Cat. 2",974,Galgame; HARUKAZE; ノラと皇女と野良猫ハート; 欢乐; 桐谷華; 野良猫; 大空樹; はと; 2017; PC,1528
PARQUET,,,971,柚子社; 全年龄; Galgame; yuzisoftSOUR; 短篇; 天宮りつ; ゆずソフト; 汉化; PC; STEAM,9900
かけぬけ★青春スパーキング,绽放★青春全力向前冲！,Kakenuke Seishun Sparking!,968,SAGAPLANETS; Galgame; 福圆美里; 废萌; 2020; 澤田なつ; GAL; 妹; 烂尾顺; PC,9057
アインシュタインより愛を込めて,爱因斯坦携爱敬上,アイこめ、Aikome、Einstein with Love、来自爱因斯坦之爱、爱因斯坦爱意满满的来信,968,新島夕; Galgame; きみしま青; 水月陵; 新岛夕; GLOVETY; 2020; 佐本二厘; GAL; 汉化,9724
絆きらめく恋いろは -椿恋歌-,,trenka,960,Galgame; 朱雀院椿; CRYSTALiA; FD; 卯衣; 纯爱; 絆きらめく恋いろは-椿恋歌-; 废萌; 汉化; PC,5537
あえて無視するキミとの未来 ～Relay broadcast～,硬要无视与你的未来,Aete Mushisuru Kimi to no Mirai ~Relay broadcast~,958,Galgame; 桐谷华; alcot; 欢乐; ALcotハニカム; 妹; 幼驯染; 汉化; あえて無視するキミとの未来; 妹控,3461
ハピメア,幸福噩梦,Hapimea、Happy Nightmare、Happy Mayor,954,Galgame; Purplesoftware; Purple; 紫社; 克; 森崎亮人; 妹控; 妹; 汉化; 遠野そよぎ,3996
大図書館の羊飼い -Dreaming Sheep-,大图书馆的牧羊人 -Dreaming Sheep-,a good librarian like a good shepherd Fan Disc -After and Another Story-,952,AUGUST; Galgame; 八月社; FD; 大圖書館的牧羊人; 桐谷华; GAL; 外传&FD; 汉化; 2014,2996
Never7 -the end of infinity-,第七夜：无限轮回的终结,ネバーセブン~ジ エンド オブ インフィニティ~、N7,950,KID; infinity; 打越刚太郎; Galgame; Never7; 悬疑; AVG; 中泽工; PC; 轮回开山作,3015
夜明け前より瑠璃色な,夜明前的琉璃色,Brighter than Dawning Blue、yoakena、keyorina、akeruri、yoriruri、yoaruri、ruriiro、amaeruna、夜明けな、けよりな、あけるり、明け瑠璃、よりるり、よあるり、瑠璃色、あまえるな、Yoake Mae yori Ruriiro na,949,AUGUST; Galgame; 夜明け前より瑠璃色な; 榨汁姬; PC; 平民少年与月球公主; 白开水; GAL; 拔作; 2005,4934
天使のいない12月,没有天使的12月,没有天使的12月、December When There Is No Angel、A December Without Angels、Tenshi no Inai Juunigatsu,947,leaf; Galgame; 阴暗系; 天使のいない12月; 中二病; みつみ美里; PC; GAL; Aquaplus; 2003,3313
アマカノ3,甜蜜女友3,,941,Galgame; 海豹社; ピロ水; 甜蜜女友3; あざらしそふと; R18; 废萌; PC; 纯爱; 2025,3877
Re：LieF ～親愛なるあなたへ～,Re:LieF 〜献给亲爱的你〜,レリーフ、Re: LieF ~DeaR YoU~、레리프、Re:LieF ～献给亲爱的你～,939,Galgame; RASK; 画风美; Re：LieF; 成长物语; 2016; 清新; PC; 雫将維; GAL,4537
銀色、遥か,银色遥远,Ginharu,935,Galgame; 纯爱; tonework’s; 恋泉天音; 值得一玩的純愛; PC; 2016; 汉化; 水月陵; tonework,2525
みにくいモジカの子,丑小鸭与文字祸,Mojika、モジカ、The Ugly Duckling,934,Nitro+; Galgame; 猎奇; 狂气; 下倉バイオ; はましま薫夫; 拔作; PC; 2018; ADV,8670
ニュートンと林檎の樹,牛顿与苹果树,Newrin、Newton and the Apple Tree,912,Galgame; Laplacian; 牛顿; ニュートンと林檎の樹; 牛顿爬出棺材; 秋野花; 性转; 黄油; 2017; GAL,7434
保健室のセンセーとシャボン玉中毒の助手,保健室的老师与沉迷吹泡泡的助手,ホケジョ、Hokejo,911,Galgame; 萝莉; Citrus; 白毛; 纯爱; 橘子社; なかひろ; 2020; 汉化; PC,3074
フラテルニテ,友爱俱乐部,fraternite、有爱俱乐部,910,CLOCKUP; Galgame; 和泉万夜; 重口; 猎奇; 致郁; 拔作; R18; PC; 屎,10056
魔導巧殻 ～闇の月女神は導国で詠う～,魔导巧壳,まどうこうかく やみのつきめがみはどうこくでうたう,907,Eushully; SLG; Galgame; 战略; 魔导巧壳; 逗比战斗系统; PC; 汉化; R18; 死精灵王不能忍,1699
ネコぱら vol.3 ネコたちのアロマティゼ,,NEKOPARA Vol.3 Aromatiser des filles-chats、Cats Paradise 3,898,Galgame; 艹猫; 拔作; NEKOWORKs; STEAM; PC; 动态CG; GAL; sayori; 猫娘,8980
ネコぱら vol.0 水無月ネコたちの日常！,,,886,Galgame; 艹猫; 猫娘; STEAM; NEKOWORKs; PC; 全年龄; GAL; sayori; 2015,9806
ハロー・レディ!,淑女同萌！,"ハロレ、Hello, Lady、Deny your destiny , should fly to fly",875,Galgame; 暁WORKS; 复仇剧; 反派男主; PC; 桐谷华; 哈姆雷特; 戏剧; 日野亘; 汉化,4304
ソーサレス＊アライヴ！～the World's End Fallen Star～,SorceressAlive!～世界末日陨落之星～,Sorceress*Alive！～the World's End Fallen Star～,868,Galgame; Fluorite; 低开高走; 燃; lass精神续作; 幼驯染; 北見六花; PC; DiGination; 2019,2416
ひぐらしのなく頃に解,寒蝉鸣泣之时解,Higurashi Kai、When They Cry 2、Higu2、寒蝉解,853,竜騎士07; Galgame; 寒蝉鸣泣之时; 同人; 友情; 解谜; PC; 猎奇; 神作; AVG,133
タマユラミライ,玉响未来,深野协调魔法使,838,Galgame; Azurite; 废萌; 茉宮祈芹; 石原舞; あめとゆき; 纯爱; 籐太; 2019; PC,3990
